,amount,city,date,ppg,price,quality,state,state.name
550,7.075,Waipahu,2010-10-21,16.96,120,high,HI,Hawaii
551,28.3,Honolulu,2010-10-17,14.13,400,high,HI,Hawaii
552,28.3,Kaneohe,2010-10-08,15.9,450,high,HI,Hawaii
553,28.3,Honolulu,2010-10-07,12.37,350,high,HI,Hawaii
554,3.54,Kula,2010-10-06,16.95,60,medium,HI,Hawaii
555,3.54,Honolulu,2010-10-03,14.12,50,medium,HI,Hawaii
556,28.3,Honolulu,2010-10-03,8.48,240,high,HI,Hawaii
557,3.54,Honolulu,2010-10-01,16.95,60,high,HI,Hawaii
558,28.3,Honolulu,2010-09-30,15.9,450,high,HI,Hawaii
559,28.3,Honolulu,2010-09-29,12.72,360,high,HI,Hawaii
560,3.54,Lahaina,2010-09-24,14.12,50,medium,HI,Hawaii
561,28.3,Princeville,2010-09-22,14.13,400,high,HI,Hawaii
562,7.075,Honolulu,2010-09-22,16.96,120,medium,HI,Hawaii
563,3.54,Honolulu,2010-09-21,16.95,60,medium,HI,Hawaii
564,28.3,Kailua Kona,2010-09-21,7.07,200,high,HI,Hawaii
565,3.54,Honolulu,2010-09-20,12.71,45,high,HI,Hawaii
566,3.54,Honolulu,2010-09-19,14.12,50,high,HI,Hawaii
567,28.3,Hilo,2010-09-19,7.07,200,high,HI,Hawaii
568,28.3,Lahaina,2010-09-18,4.24,120,medium,HI,Hawaii
569,3.54,Kailua Kona,2010-09-17,14.12,50,high,HI,Hawaii
570,28.3,Lahaina,2010-09-16,13.43,380,high,HI,Hawaii
571,7.075,Waipahu,2010-09-16,14.13,100,high,HI,Hawaii
572,28.3,Honolulu,2010-09-15,14.13,400,high,HI,Hawaii
573,7.075,Kihei,2010-09-15,16.96,120,high,HI,Hawaii
574,3.54,Honolulu,2010-09-15,16.95,60,high,HI,Hawaii
575,7.075,Kihei,2010-09-15,14.13,100,high,HI,Hawaii
576,28.3,Keaau,2010-09-15,7.07,200,high,HI,Hawaii
577,28.3,Honolulu,2010-09-15,20.32,575,high,HI,Hawaii
578,7.075,Kailua Kona,2010-09-14,8.48,60,high,HI,Hawaii
579,28.3,Wahiawa,2010-09-14,14.84,420,high,HI,Hawaii
580,28.3,Hilo,2010-09-14,8.83,250,high,HI,Hawaii
581,28.3,Honolulu,2010-09-14,2.12,60,high,HI,Hawaii
582,3.54,Waialua,2010-09-14,11.3,40,high,HI,Hawaii
583,7.075,Kihei,2010-09-03,14.13,100,high,HI,Hawaii
584,3.54,Honolulu,2010-09-02,16.95,60,high,HI,Hawaii
585,28.3,Anchorage,2013-09-26,3.53,100,high,AK,Alaska
586,28.3,Anchorage,2013-09-25,0.35,10,high,AK,Alaska
587,28.3,Chignik,2013-09-23,35.34,1000,medium,AK,Alaska
588,14.15,Kenai,2013-09-21,10.6,150,medium,AK,Alaska
589,7.075,Anchorage,2013-09-19,14.13,100,medium,AK,Alaska
590,28.3,Anchorage,2013-09-17,10.6,300,high,AK,Alaska
591,5.0,Ketchikan,2013-09-16,20.0,100,high,AK,Alaska
592,28.3,Anchorage,2013-09-13,3.53,100,low,AK,Alaska
593,28.3,Nome,2013-09-13,28.27,800,low,AK,Alaska
594,5.0,Bethel,2013-09-12,20.0,100,high,AK,Alaska
595,5.0,Akutan,2013-09-12,100.0,500,high,AK,Alaska
596,3.54,Anchorage,2013-09-10,11.3,40,low,AK,Alaska
597,5.0,Sitka,2013-09-10,10.0,50,medium,AK,Alaska
598,3.54,Anchorage,2013-09-04,11.3,40,medium,AK,Alaska
599,28.3,Akiachak,2013-09-04,14.13,400,high,AK,Alaska
600,28.3,Wasilla,2013-09-02,3.53,100,medium,AK,Alaska
601,3.54,Homer,2013-08-30,11.3,40,medium,AK,Alaska
602,28.3,Wasilla,2013-08-30,10.6,300,medium,AK,Alaska
603,28.3,Atka,2013-08-28,0.18,5,medium,AK,Alaska
604,28.3,Delta Junction,2013-08-25,0.71,20,medium,AK,Alaska
605,14.15,Wasilla,2013-08-25,12.01,170,medium,AK,Alaska
606,3.54,Anchorage,2013-08-24,11.3,40,medium,AK,Alaska
607,3.54,Anchorage,2013-08-23,11.3,40,low,AK,Alaska
608,3.54,Anchorage,2013-08-19,11.3,40,medium,AK,Alaska
609,28.3,Anchorage,2013-08-17,10.6,300,medium,AK,Alaska
610,7.075,Anchorage,2013-08-13,5.65,40,medium,AK,Alaska
611,28.3,Akiachak,2013-08-12,1.77,50,medium,AK,Alaska
612,28.3,Kenai,2013-08-12,10.6,300,high,AK,Alaska
613,14.15,Anchorage,2013-08-09,11.31,160,medium,AK,Alaska
614,7.075,Fairbanks,2013-08-07,14.13,100,medium,AK,Alaska
615,5.0,Anchorage,2013-08-07,8.0,40,high,AK,Alaska
616,7.075,Akutan,2013-08-06,42.4,300,high,AK,Alaska
617,3.54,Fairbanks,2013-08-05,14.12,50,high,AK,Alaska
618,3.54,Chugiak,2013-08-04,11.3,40,high,AK,Alaska
619,10.0,Barrow,2013-08-03,10.0,100,medium,AK,Alaska
620,3.54,Anchorage,2013-08-01,11.3,40,high,AK,Alaska
621,28.3,Anchorage,2013-07-31,11.31,320,high,AK,Alaska
622,3.54,Adak,2013-07-30,14.12,50,high,AK,Alaska
623,28.3,Anchorage,2013-07-29,9.19,260,high,AK,Alaska
624,3.54,Barrow,2013-07-28,28.25,100,high,AK,Alaska
625,28.3,Barrow,2013-07-28,17.67,500,high,AK,Alaska
626,3.54,Anchorage,2013-07-24,5.65,20,medium,AK,Alaska
627,28.3,Anchorage,2013-07-24,1.41,40,high,AK,Alaska
628,3.54,Anchorage,2013-07-23,5.65,20,medium,AK,Alaska
629,28.3,Anchorage,2013-07-23,9.89,280,high,AK,Alaska
630,28.3,Anchorage,2013-07-23,3.53,100,medium,AK,Alaska
631,14.15,Adak,2013-07-17,7.07,100,high,AK,Alaska
632,28.3,Juneau,2013-07-17,3.53,100,medium,AK,Alaska
633,3.54,Juneau,2013-07-16,16.95,60,high,AK,Alaska
634,7.075,Wasilla,2013-07-14,11.31,80,medium,AK,Alaska
635,28.3,Palmer,2013-07-13,0.18,5,medium,AK,Alaska
636,28.3,Anchorage,2013-07-13,3.53,100,medium,AK,Alaska
637,28.3,Glennallen,2013-07-09,17.67,500,medium,AK,Alaska
638,20.0,Anaktuvuk Pass,2013-07-05,0.5,10,low,AK,Alaska
639,28.3,Fairbanks,2013-07-05,2.12,60,medium,AK,Alaska
640,28.3,Anchorage,2013-07-02,8.83,250,high,AK,Alaska
641,20.0,Anchorage,2013-07-01,1.0,20,high,AK,Alaska
642,28.3,Anchorage,2013-06-30,7.07,200,medium,AK,Alaska
643,28.3,Anchorage,2013-06-24,35.34,1000,high,AK,Alaska
644,20.0,Sitka,2013-06-24,15.0,300,high,AK,Alaska
645,20.0,Sitka,2013-06-24,1.25,25,high,AK,Alaska
646,5.0,Fairbanks,2013-06-23,13.8,69,high,AK,Alaska
647,28.3,Juneau,2013-06-23,0.88,25,medium,AK,Alaska
648,28.3,Homer,2013-06-20,9.89,280,medium,AK,Alaska
649,3.54,Anchorage,2013-06-20,5.65,20,medium,AK,Alaska
650,28.3,Anchorage,2013-06-19,10.6,300,high,AK,Alaska
651,7.075,Skagway,2013-06-17,16.96,120,medium,AK,Alaska
652,14.15,Akutan,2013-06-15,42.4,600,medium,AK,Alaska
653,28.3,Anchorage,2013-06-13,3.53,100,high,AK,Alaska
654,14.15,Fairbanks,2013-06-08,11.31,160,medium,AK,Alaska
655,3.54,Sitka,2013-06-07,7.06,25,medium,AK,Alaska
656,3.54,Anchorage,2013-06-04,5.65,20,medium,AK,Alaska
657,28.3,Anchorage,2013-06-02,10.25,290,high,AK,Alaska
658,28.3,Anchorage,2013-06-01,15.9,450,low,AK,Alaska
659,5.0,Adak,2013-06-01,3.0,15,low,AK,Alaska
660,5.0,Atka,2013-05-28,10.0,50,medium,AK,Alaska
661,3.54,Anchorage,2013-05-24,11.3,40,medium,AK,Alaska
662,28.3,Anchorage,2013-05-22,7.07,200,high,AK,Alaska
663,28.3,Anchorage,2013-05-20,0.88,25,high,AK,Alaska
664,28.3,Adak,2013-05-20,12.37,350,medium,AK,Alaska
665,28.3,Chevak,2013-05-20,0.04,1,medium,AK,Alaska
666,3.54,Fairbanks,2013-05-18,14.12,50,medium,AK,Alaska
667,3.54,Anchorage,2013-05-16,11.3,40,medium,AK,Alaska
668,28.3,Anchorage,2013-05-15,2.83,80,high,AK,Alaska
669,28.3,Juneau,2013-05-14,5.3,150,medium,AK,Alaska
670,5.0,Haines,2013-05-14,5.0,25,high,AK,Alaska
671,3.54,Anchorage,2013-05-10,15.54,55,medium,AK,Alaska
672,28.3,Naknek,2013-05-10,1.41,40,medium,AK,Alaska
673,28.3,Akiachak,2013-05-05,8.48,240,medium,AK,Alaska
